Sl No,stars_review,text,date,name,categories,city,state,stars_business,review_count,rating_review
11,4,"The bun makes the Sonoran Dog. It's like a snuggie for the pup. A first, it seems ridiculous and almost like it's going to be too much, exactly like everyone's favorite blanket with sleeves. Too much softness, too much smush, too indulgent.  Wrong. It's warm, soft, chewy, fragrant, and it succeeds where other famed Sonoran Dogs fail. 

The hot dog itself is flavorful, but I would prefer that it or the bacon have a little more bite or snap to better hold their own against the dominant mustard and onions. 

I'm with the masses on the carne asada caramelo. Excellent tortilla, salty, melty cheese, and great carne. 

Super cheap and you can drive through.",27-10-11 17:12,BK Tacos,"Restaurants, Tacos, Mexican, Hot Dogs, Breakfast & Brunch, Steakhouses",Tucson,AZ,4,492,Positive
12,5,"Great place for breakfast! I had the waffle, which was fluffy and perfect, and home fries which were nice and smashed and crunchy. Friendly waitstaff. Will definitely be back!",11-10-14 16:22,Mamas Kitchen,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",Tampa,FL,4.5,162,Positive
13,5,"Tremendous service (Big shout out to Douglas) that complemented the delicious food. Pretty expensive establishment (40-50$ avg for your main course), but its definitely backs that up with an atmosphere that's comparable with any of the top tier restaurants across the country.",24-06-13 11:21,Rittenhouse Grill,"Wine Bars, Restaurants, Nightlife, Steakhouses, Seafood, Bars",Philadelphia,PA,3.5,290,Positive
14,4,"The hubby and I have been here on multiple occasions and we have loved every part of the meal, every single time. Everyone from the servers to the bartender is very knowledgable about the menu and was able to immediately recommend items I could eat as-is, substitute or delete to make something safe for this Celiac girl to eat. The wine and cocktail menus are spot on. The food divine.  My only wish is that they would have a gluten-free dessert, we've always had to go elsewhere for something sweet. But that is not a big deal and I still want to go here time and time again.",10-08-14 19:41,Olio,"Wine Bars, Bars, Nightlife, American (New), Mediterranean, Restaurants",Saint Louis,MO,4,398,Positive
15,5,"My absolute favorite cafe in the city. Their black and white latte is probably the best I've ever had (not too sweet and just the right amount of foam), soups are always really good (even for non-soup people) and there's just a lot of space to do work. The noise level is perfect, the music is at a perfect level, and I always enjoy when patrons bring their dogs. I'll keep giving them my business for as long as I can.",12-11-14 15:30,Good Karma Cafe,"Food, Cafes, Coffee & Tea, Restaurants",Philadelphia,PA,4,249,Positive
16,3,"Upland is a brewery based out of Bloomington, Indiana that has become popular enough to open up a couple additional locations in central Indiana.  All of their beers are very good, and I am also a fan of their burgers and tenderloins.  Therefore, I was excited to try their pizza, but I don't think it ended up being on par with these other items.  My margherita pizza had a cracker-like crust and was pretty light overall.  The cheese was good, but none of the other toppings added much flavor.  There was no red sauce as is typical for a true margherita pizza.  My opinion is that Upland's pizza might serve as a nice appetizer for a group, but I'll be sticking with their burgers or tenderloins as my meal of choice on future visits.",12-11-14 14:12,Upland Carmel Tap House,"Nightlife, Food, Bars, Breweries, Pizza, Brewpubs, Pubs, Restaurants",Carmel,IN,4,244,Neutral
17,4,"Yes, this is the only sushi place in town. However, it is great when you're craving sushi and don't have time to go somewhere else. The salmon is probably the best fish they have, so we always order salmon. We also love their spicy edamame, tempura, ocean salad, and cabbage salad. Service has always been friendly and quick!",04-09-13 3:48,Sushi Teri,"Restaurants, Sushi Bars",Carpinteria,CA,3,167,Positive
18,4,"I was really between 3 and 4 stars for this one. I LOVE the 96th street Naked Tchopstix so I was very excited to see this one which is closer to my house.
The vibe is totally different as this is geared more to take out although they do have a decent size dining area. You order at the counter and they deliver it.
My daughter and I tried the sushi bowl. You pick up a piece of paper and  select from a choice of proteins, vegetables, rice and toppings. I like the fact that it is on paper and you don't have to guess what things are or have to shout over the counter to tell the server what you want. The sushi bowl was good but not wonderful. The choices particularly of the vegetables seemed a little too limiting and I felt I had more rice than other food items. The sauces were tasty. My husband ordered the Maui roll which is my favorite roll at the 96th street location and this just was not up that standard. It was good but the quality and consistently was not as good as at 96th street. I would go back though and I think a lot of people would be happy with the sushi bowls. I do want to make a comment about the low reviews that people have given the place because of service. People - it is a sushi place - it isn't McDonalds- so it will be a bit slower. You are not going to order and get out of there in five minutes even though it is called express. As a healthy alternative to fast food in the area, it is worth the wait. Oh and try the bubble tea. I had the strawberry and it was quite yummy. Next time I am going to try the vanilla chai.",17-07-18 3:30,Naked Tchopstix Express,"Restaurants, Food, Poke, Hawaiian, Sushi Bars",Indianapolis,IN,3.5,33,Positive
19,4,Went for lunch. Beef brisket sandwich was awesome.   So juicy and tender.    Pulled pork was was just as good!,08-06-15 19:45,Barbecue and Bourbon,"American (New), Restaurants, Cocktail Bars, Barbeque, Bars, Nightlife",Speedway,IN,4,284,Positive
20,5,Best thai food in the area.  Everything was authentic and delicious.  Will definitely be back again and again.,15-08-13 15:27,Thai Place Restaurant,"Thai, Restaurants",Phoenixville,PA,4.5,222,Positive
21,3,"Service was crappy, and food was mediocre.  I wish I would have picked some other place for my last dinner in town.",22-11-16 0:22,Creole House Restaurant & Oyster Bar,"Cajun/Creole, Seafood, Restaurants, Breakfast & Brunch",New Orleans,LA,4,1594,Neutral
22,5,"I recently had dinner here with my wife over the weekend and could not have been more pleased! 

Our meal was excellent! My wife and I were astounded by how quickly our food came out! Everything tasted fresh and homemade which we both appreciated. 

The only problem was trying to pick something from the menu as there were too many delicious sounding items to choose from. We will definitely be returning to try more items! Can't wait to see what the next chef specials will be!",27-10-14 2:47,Anthony's at Paxon Hollow,"Event Planning & Services, Italian, Venues & Event Spaces, Restaurants, Active Life, Food, Golf",Broomall,PA,3.5,32,Positive
23,2,"I at least have to give this restaurant two stars due to the decent food. But while on a dinner meeting and after spending $100 on entrées and appetizers, I had to flag down the assistant cook, (the guy in bright red baggy pants watching TV), to see if I could get more avocado for my tuna entrée.  He made it very apparent and direct that he could not help me with that situation and I would have to flag down my  waitress so she could bill me for the four dollar avocado.",02-02-15 4:29,Tavern,"Cocktail Bars, Nightlife, Gastropubs, Sports Bars, Restaurants, American (New), Lounges, Bars",Nashville,TN,4,1222,Negative
24,5,First time there and it was excellent!!! It feels like your are entering someone's home. The waiters there funny and nice. The food come out very quickly and it is phenomenal!!! Definitely will be going back to this place.,19-02-17 13:32,Portobello Cafe,"Restaurants, Seafood, Cafes, Italian",Eddystone,PA,4,137,Positive
25,5,"Great burgers,fries and salad!  Burgers have a hint of salt and pepper flavor.

This location is very quaint. They only have outdoor seating

Friendly staff.

Street parking as well as parking lot in the back.",02-01-17 3:17,The Original Habit Burger Grill,"Fast Food, Burgers, Restaurants",Goleta,CA,4,329,Positive
26,5,Great staff always helps and always nice. Always clean and huge store size. Stays stocked with everything you need. The staff always helps make my custom breakfast bagel,26-05-17 13:10,Wawa,"Food, Coffee & Tea, Gas Stations, Restaurants, Automotive, Sandwiches, Convenience Stores",Norristown,PA,3.5,8,Positive
27,5,"What a great addition to the Funk Zone!  Grab a bite, grab some tastings, life is good. Right next door to the Santa Barbara Wine Collective, in fact it actually shares the same tables.  We had a fabulous savory croissant.",13-10-16 22:50,Helena Avenue Bakery,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",Santa Barbara,CA,4,389,Positive
28,5,"My boyfriend and I tried this deli for the first time today. I had a turkey, avocado & bacon panini and he ha a buffalo chicken wrap. We will definitely be returning. The wait for food wasn't too long, which is always appreciated during lunch hour. There was SO much to choose from. They have salads, soup, macaroni, sandwiches and hot food. I love a deli that has many options to choose from!",23-08-18 21:39,The Coventry Deli,"Restaurants, Delis, Salad, Sandwiches",Philadelphia,PA,4,65,Positive
29,5,Amazing biscuits and (fill in the blank). Great cocktails too. Highly recommended. A bit busy though.,27-04-18 23:03,Milk and Honey Nashville,"American (New), Restaurants, American (Traditional), Food, Breakfast & Brunch, Coffee & Tea, Pizza",Nashville,TN,4,1725,Positive
30,4,Food was good- atmosphere/decor is like a fishing lodge- menu is someplace between outback & bonefish. Went on a Groupon & all 3 of our meals & calamari appetizer that we ordered were cooked perfectly- we will def be back.,15-04-15 15:30,Aquafinz,"Seafood, Steakhouses, Salad, Comfort Food, Restaurants, Southern",Lutz,FL,3.5,86,Positive
31,2,"Straight to the point, it's cheap, it tastes and feels cheap

The good: price, location, dessert (edible food items are: baked chicken, fried chicken, mashed potatoes, Salad bar lol, meat and cheese bar, ravioli, pizza) also our waitress was bomb af

The meh: behind counter meat slicing station, shrimp (not even deveined), Mexican station

The bad: breakfast -worst eggs ever, actually worst, eggs. Le Benedict can't even cut through ham or English muffin (tried on all 3 occasions), steak, shrimp again, hell breaded items can't even, don't even. Decor it's the 1970 nightmare you can imagine

Tried 3 times and failed",08-07-17 18:58,The Buffet,"American (New), Restaurants, Buffets, Breakfast & Brunch",Reno,NV,3.5,594,Negative
32,4,"The only reason I didn't give this restaurant a 5 star rating, is because of one single pretentious waiter. As a 4 night guest at Hotel Palomar, the location of the restaurant is an obvious plus. The first night of my stay, I met a coworker in the restaurant for a cocktail. When we arrived, the host staff were busy and not available, so we just walked in. The restaurant was not too busy, so we just looked at a small table next to the bar and proceeded to take a seat. A waiter came by and I quickly asked if we could have a seat, before sitting down and told him we'd only be having cocktails. He stumbled on his reply, and in an irritated/in-convinced tone, told me ""I guess it would be fine"" and basically just kept walking mid sentence. My guest and I brushed it off, and started having a conversation while looking at the drink menu. To make a long story short, he was distant and we both got the ""couldn't be bothered"" vibe from him. When it came to the bill, we asked if it could be split due to company transaction policies, and you would have thought asked him for some inconceivable task. We basically spent the rest of our night and elevator ride to our room in shock of the rudeness we had just experienced. 

Although that situation left a bad taste in our mouth, and the night before we decided to avoid the restaurant, we decided to grab another cocktail and give this place one more try. After looking around and ensuring ""last nights waiter"" wasn't on shift, we walked over to the bar and started looking over the menu. Instantly, the bartender greeted us with pleasant small talk and made us feel 100% welcome. He asked about our day, recommended cocktails and was a completely genuine person. This guy (I think his name was Ben) is an absolute star! He gave us lessons on Whiskey, described how to make classic cocktails, and was 100% invested in our experience. This is exactly what a bartender at a 4/5 star establishment should be - actually he exceeds that. He was kind, funny, friendly and completely redeemed this restaurant/bar from our terrible experience the night before. 
I also ordered room service last night from this restaurant, and it was amazing. The bacon wrapped dates and chocolate cake are to die for! Great restaurant and amazing bartender(s). Too bad one bad egg could have spoiled this experience.",05-03-15 3:37,Square 1682,"American (New), Breakfast & Brunch, Bars, Nightlife, Restaurants",Philadelphia,PA,3.5,385,Positive
33,5,"Stopped by after a Sunday morning walk in the park - great food, coffee customer service - love the vibe in here",30-08-15 13:41,Three Brothers Coffee,"Bagels, Sporting Goods, Outdoor Gear, Coffee & Tea, Cafes, Sandwiches, Food, Shopping, Internet Cafes, Restaurants",Nashville,TN,4.5,249,Positive
34,3,"In a word... ""OVERRATED!"".  The food took forever to come out.  The burger was WAY overcooked (Especially when I ordered it Medium Rare) and the Seafood Jumbalaya was Decent.  Not worth the price.  There are better places to eat in the french quarter.  It was not horrible, but for everything that we had heard about this place, I would have expected much better.",29-12-13 2:37,Mr. B's Bistro,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",New Orleans,LA,4,2064,Neutral
35,1,"If you want to pay for everything a la carte this is the place for you.  
Food wasn't terrible not impressive.
They brought a basket of chips and some tomato sauce which I asked politely for something spicier and some pico de gallo.  She brought them happily to me and the salsa was much better.  When asked what we would like to drink I asked for a coke and she brought out a bottle which I stated I wanted the fountain drink.  She said ""oh that's only Pepsi"".  Never mentioned that they only had bottle drinks for coke.  
We ordered our food which was reasonably priced, asked for sour cream and also to put cheese on the taco.  She let us know cheese was extra.  
It was $2.50 extra for another basket of chips.  
When I received the bill we paid more for the condiments then the actual food.  Side of sour cream 2.00, pico de gallo 2.50, salsa 2.00, chips 2.50, cheese 1.00 and the bottled coke that we didn't want 5.00.  
Just a suggestion...when you order anything make sure to ask if there is an extra charge.",24-08-14 20:14,El Chicanito Mexican Restaurant,"American (New), Restaurants, Mexican",Port Richey,FL,4,10,Negative
36,4,The cafe was extremely cute. We came at 8am and they even had a jazz band playing at that time. I got the breakfast sandwich and it was delicious. I loved how they rolled the egg and put the bacon pieces inside. Great price for a filling breakfast!,07-07-18 20:50,Cafe Beignet on Bourbon Street,"Sandwiches, Breakfast & Brunch, Cajun/Creole, Cafes, Food, Restaurants, Donuts",New Orleans,LA,3.5,1066,Positive
37,5,"On a scale of one to things that are awesome, this place is the bomb. 

I was drawn in by the promise of the duckfat frenchfries. Took the boy for his birthday and put our name in, had a drink around the corner while we waited and were given seats at the bar after about 45 minutes. 

We were waited on by Keith, the bartender, who was congenial, knowledgeable about his whiskeys and an all-around cool guy. We started with 3 cape may salts (two for me, one for the boy) and tater tots, both of which made me happy.

For dinner, I got Kentucky Fried Quail (stellar, though the succotash was not as exciting as I wanted it to be) and the boy got the 24$ Fois Gras burger, which was incredible. Worth every penny. The duckfat fries were pretty yummy, but not even the best part of the meal. I could've done without the cheese sauce, but as it was on the side I wasn't deterred.

I look forward to coming back here, with everyone I know.",14-10-09 1:15,Village Whiskey,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",Philadelphia,PA,4,1553,Positive
38,2,"We started with the artichoke dip, big mistake. It was cold and the chips were stale. Mentioned to our waitress, but nothing came of it.  We ordered a large pizza, thin crust which after adding toppings it was a bit pricey for pizza.  Pizza was ok, not great. Except for not being our advocate our server was good.  I have been here before for Cardinals game, it was better then. Will try another venue next time.",08-09-17 23:20,Caleco's Bar & Grill,"Bars, Nightlife, American (New), Italian, Sports Bars, Restaurants, Food, American (Traditional)",Saint Louis,MO,3,532,Negative
39,4,"It was my fiance's birthday and he decided he wanted a good, laid back Thai restaurant for dinner. Yelp steered us in the Jasmine Rice direction, and it was definitely a good decision. We wanted the summer rolls, which were on the menu, but apparently will not be available until summer, so we settled on the pan-fried dumplings. The flavor was good, but I don't think we'd order them again. We got the green curry fried rice with duck and chicken pad thai. Both of those dishes were great, but the duck stole the show. That was some the of tastiest duck I've ever had. The pad thai was a bit sweet for us, so I think we'd try a different noodle dish when we return. But it was still very good, especially with some chili sauce mixed in. Our service was good, but other people had issues. One table was rushing to get to a show at the Kimmel Center and waited quite a while for their meal (and were going to be late). Another person who got take-out was missing one of their items (but the owner realized it and called him and walked the dish to his house, which was very nice). Overall, good quality Thai! We would definitely go back.",01-04-14 13:05,Jasmine Rice - Rittenhouse,"Soup, Thai, Restaurants, Salad",Philadelphia,PA,3.5,307,Positive
40,4,"I love the Brewpub for their variety of dishes.  Nachos, pizza and sandwiches.  Variety of beers to choose from crafted right on sight.  

Every time we go, the service is slow.  I think it's just the pace of the restaurant.  It's never a quick beer and a bite of food.  Instead, enjoy the patio and friends, savor that time.  

Kid and dog friendly environment.  Also great for your vegetarian and vegan friends.  

My go to is a half order of the nachos or fish & chips.  

Tried their Pumpkin Seasonal Beer and it's on par with some of my favorite pumpkins.",26-10-16 15:29,Broad Ripple Brewpub,"Nightlife, Food, Pizza, Brewpubs, Restaurants, Fish & Chips, American (New), Bars, Pubs, Breweries, Vegetarian",Indianapolis,IN,3.5,378,Positive
41,5,"My brother came to visit and we wanted to pick up a six pack of good beers for a night in. Ended up staying and having a few while playing their Nintendo 64 (Super Smash Brothers, which the owner said was donated by fellow patrons). It's a great place with good food and genuinely nice people. Should be a staple in the Northeast.",19-05-16 6:10,Chase's Hop Shop,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs",Philadelphia,PA,4.5,116,Positive
42,4,"My go to menu is coconut soup and pad thai with protein. I tried same menu here. 
Actually really like their coconut soup. They used enough amount of coconut milk that soup was really creamy and wasn't over powering with herb. I am so used to Americanized thai cuisine that I prefer less herb on my dish except cilantro.
Pat thai was great too. Liked the amount of peanut they used, noodle was chewy and perfect and not too sweet. They gave me generous amount of chicken and white meat wasn't dry so I was very happy with my meal.",16-02-15 7:20,Erawan Thai Cuisine,"Thai, Restaurants",Philadelphia,PA,3.5,180,Positive
43,4,Excellent service! Great diner food and breakfast is served all day. Came here for lunch- they were busy but very friendly and hospitable. Easy to get to off the 295.,26-10-16 16:35,Deepwater Diner,"Restaurants, Diners",Penns Grove,NJ,4,49,Positive
44,4,"My go-to spot on a Saturday night! I was real bummed that lucys closed, but was pleasantly surprised by this bar just across the street!
Their food is better than expected. I always get wings and fries. (be careful of the wtf sauce though) Sometimes it takes a real long time to get the bartenders attention, but the place is usually packed. And if you're lucky the always sunny crew will pop in!",18-11-15 17:47,Mac's Tavern,"Nightlife, Restaurants, American (New), Bars, Pubs",Philadelphia,PA,3.5,446,Positive
45,5,"We were a bit weary about trying the Shellfish Company on the Wharf as more often than not, many places like these (see Cannery Row, Monterey) feast on a captive audience and provide sub-standard fare at high prices.

However, emboldened by the perennial good reviews on Yelp, we suppressed our initial observations and went ahead with the trying it out. The place is small, so definitely plan ahead. You will have to wait, so either you know, just do so, or perhaps try to visit outside of peak hours. Luckily, our wait was only about 20 minutes as the dinner rush was just leveling off.

The special was the local rock crab - $25 for 3 lbs of California Rock Crab, salad, and your choice of soup/chowder. After taking a look at a few trays of rock crab being served out, the wife and I both opted for it, as it looked awesome.  

The salad/chowder combo was great as you actually received hearty portions of each, so it was a good start. As much as I liked the chowder however, the Shrimp Bisque the wife ordered was amazing, so I would recommend that going forward. 

But enough of prattling on about side dishes: the rock crab tasted just as glorious as it looked. Juicy, buttery chunks of white crab meat await you, just a few cracks away. While the rock crab shells are pretty thick, once cracked, they splinter and separate easily, a good sign they are cooked to perfection. The rock crabs provided a great amount of meat for what I felt to be the least amount of work you're going to do for crab, King or otherwise. 

We were thoroughly satisfied with our meal and along with the special being an overall great value, devouring the Rock Crab at SBSC turned out to be one of the favorite meals on the trip. I think ordering crab here is a safe proposition indeed.",31-05-16 2:14,Santa Barbara Shellfish Company,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",Santa Barbara,CA,4,2404,Positive
46,3,Honestly the food doesn't knock my socks off but other people seem to love this place. I go because my husband likes it as for me I'd rather go to a different BBQ spot. I guess it also depends on what you order.,17-01-16 13:26,Edley's Bar-B-Que - 12 South,"Barbeque, Restaurants, Dive Bars, Cocktail Bars, Southern, Nightlife, Bars",Nashville,TN,4,1114,Neutral
47,5,I stopped here because it was by the hotel I was staying in. The guys working at the shop were super nice and friendly. I really like the buy one get one deal they do. I also ordered some hot wings and they were pretty good. They had a ton of sauce on them which is awesome. Next time I come back to town I will be sure to stop here for some more pizza!,10-08-14 23:56,Just Pizza,"Restaurants, Pizza",Indianapolis,IN,3.5,20,Positive
48,5,"I've only had the cannolis here but they are awesome! They're freshly filled when ordered and the filling is phenomenal. Not too sweet, it's perfect. If you like cannoli, if you don't think you like cannoli, you should definitely get one from Termini Bros.",23-03-18 14:35,Termini Bros Bakery,"Food, Restaurants, Bakeries",Philadelphia,PA,4,263,Positive
49,5,"Traveling through in our RV, stopped over in Granite City. Found this little gem of a cafe. Upon entering, the staff was very sweet and friendly. This is like home cooking. We ate here twice and all our food choices were fresh, delicious and like we would fix at home. Yum.",21-07-16 17:41,Itty-Bitty,"Sandwiches, Burgers, American (Traditional), Restaurants",Granite City,IL,4.5,33,Positive
50,4,After 3 weeks of working in the area I finally found a place off of Magazine that is not overrated. Friendly staff! Y'all know I love Phò so it's pretty damn good!,18-09-16 22:43,Pho Cam Ly,"Vietnamese, Restaurants",New Orleans,LA,4.5,178,Positive
51,5,Our family returned for breakfast again this weekend and the food and service was again impeccable ... Highly recommend,27-10-14 16:31,Le Peep,"Event Planning & Services, Salad, Caterers, American (New), Sandwiches, Restaurants, Breakfast & Brunch",Meridian,ID,4,259,Positive
52,5,Definitely recommend for anyone looking for a delicious meal at a reasonable price. The shrimp and goat cheese crepes are a must have!,18-09-16 17:05,Muriel's Jackson Square,"Cajun/Creole, Restaurants",New Orleans,LA,4,1963,Positive
53,5,"After living in the STL area for way over 10 years now, I am both ashamed and remorseful to admit that I ate here for the FIRST time just a few weeks ago. I am ashamed because it's a St. Louis tradition and remorseful because I missed out on it for so..many...years! 

This place is amazing. What is not to love! It's a factory where you can get a tour (Friday-Sunday, noon-5pm on the hour), there's a shop, bar, and dining area. They also host many event with live music on the weekends. It's fun to just kind of wander and look around - don't worry, you'll get a chance because there will likely be a wait before you dine. The beer is, of course, amazing. The Hefeweizen is my personal favorite and a great start for anyone who is not a huge beer drinker (like myself). Additionally, the food is homegrown and damn good. I had the pizza (recommendation from my server) and it was really spectacular, though I'm admittedly a pizza connoisseur so I enjoy a good pizza pie more than most probably ;P My date had a bison burger which was also really good. 

More fun info: the service is great! I think they tend to hire more funky and alternative people (like tattoo parlor staff) which I support. The quality is what makes this place stand out along with the emphasis on local food and brewery. 

It is a little on the pricier side but for all the experience you get and the quality, it is worth it. I will go again and again and you probably should, too!",30-11-11 6:58,Schlafly Bottleworks,"Local Flavor, Food, Brewpubs, Breweries, Restaurants, Pizza, American (Traditional), American (New)",Saint Louis,MO,4,615,Positive
54,1,"If I could give it a zero, I would. I order a plain hamburger, and realized they put  bacon in it (which I am allergic to and unable to eat) after two bites. When I went back to the drive-through window to complain (didn't realize the actual restaurant was open--it was almost 2 after all...), the guy took back the burger, said nothing, and disappeared. After 2 minutes of awkwardly making conversation with the next people in line in their car, he came back and rudely told me I had to go inside to get my food. Which I did. And still did not get an apology.

I refuse to go back there after that ordeal, which is a shame, because it's nice to have a variety of places to go to after DT. Guess Freebirds it is!",24-08-11 23:07,Jack in the Box,"Restaurants, Fast Food, Mexican, Tacos, Burgers, Breakfast & Brunch",Goleta,CA,1.5,86,Negative
55,5,"I just started going to Sushi Nara this month (they opened just a short time ago).  I love this place; it is clean, the staff are friendly and acommodating, and the service is fast.  The sushi is always delicious ((I've been here 3 times) and the prices are reasonable. In fact, this week my husband stopped in for take out, bought 4 sushi rolls and the total was $24.  That is amazing.  

I love the freshness of the food and there's a huge selection to choose from.

Everyone on the eastside, check this place out!",25-07-14 17:56,Sushi Nara,"Sushi Bars, Japanese, Restaurants",Tucson,AZ,4.5,159,Positive
56,5,"Been here so many times before and all I can say is the food is really good. A hidden gem in Florissant, it has the best Panang curry around. Haven't been to their sister restaurant yet, but I can't seem to want to move on when I am always so satisfied with their fare here.",21-12-15 0:17,Simply Thai Restaurant,"Thai, Restaurants",Florissant,MO,4,85,Positive
57,3,"My food only merited maybe two stars but I will give an extra star because I like the menu (and will try more of it) and their design and concept.  Sadly though, my tomato-basil soup tasted kind of like a weak marinara and my tuna melt type sandwich had a very sharp, off-putting flavor.  It was citrusy, for sure, and I love lemon in a tuna melt but perhaps this was lemon zest or something just way too overpowering?  I think next time I will focus on the dishes with cured Italian meats, mortadella and prosciutto.  And also the baked goods, those sounded pretty good, especially the Nutella bruschetta!",20-03-11 12:44,Il Posto Italian Cafe,"Coffee & Tea, Food, Restaurants, Italian",New Orleans,LA,4,120,Neutral
58,1,"We visited once and were very disappointed in my veggie pizza and my husband's sub sandwich.  The tomato sauce was not tasty, and they did not use enough cheese on my pizza.  The dough looked and tasted like it was prepared by a machine.  Perhaps they have improved, but we are not in any rush to try a second time.",16-08-17 15:43,PizzaMan Dan's,"Chicken Wings, Restaurants, Beer, Wine & Spirits, Sandwiches, Food, Pizza, Italian",Carpinteria,CA,4,124,Negative
59,3,"A couple friends and I stopped by for some late night milkshakes and found ourselves at More Than Just Ice Cream. Well, we just got ice cream...not fully taking advantage of what the name implies, but maybe next time.

3 milkshakes: 1 coffee, 1 chocolate, and 1 black&white malt. 

All were pretty good. Definitely satisfied the ice cream craving. I thought my coffee milkshake could have been thicker, same goes for the chocolate. The black&white was plenty thick and was probably the best of the three. Unfortunately, I did not order that one so I settled for my not so creamy coffee.

I did sample some ice cream flavors before setting on a milkshake. I tried the pumpkin pie which was AMAZING. I don't know why I didn't just get this. Maybe a milkshake isn't the way to go here.",03-10-13 16:24,More Than Just Ice Cream,"Food, Sandwiches, Ice Cream & Frozen Yogurt, Comfort Food, Breakfast & Brunch, Diners, Restaurants, Desserts",Philadelphia,PA,3.5,239,Neutral
